beer_name,brewery,ba_score,ranking,reviews,ratings,pdev,wants,gots,trade,location,style,alcohol,availability,note_desc
Barrel Aged The Murderous,Pipeworks Brewing Company,4.29,"#1,214",23,246,8.39%,99,60,5,Illinois,British Barleywine,13.00%,Rotating,"
1st batch release (12oz) - We took our Murderous English Style Barley Wine and aged it for eight months in Elijah Craig 12 Year Old Barrels. The resulting nectar was a delightfully sweet and sticky beer with deep, rich notes of coconut, vanilla, oak, dates, dark fruit, bourbon, caramel and a hint of rye spiciness. Delicious now but this one is definitely a candidate for hibernation in your temperature controlled resting place."
Basement IPA,Scofflaw Brewing Company,4.14,"#3,565",41,179,8.45%,10,52,1,Georgia,American IPA,7.50%,Year-round,"
No notes at this time."
Russian Roulette,Minneapolis Town Hall Brewery,4.49,#297,19,100,7.13%,79,1,0,Minnesota,Russian Imperial Stout,9.30%,Rotating,"
No notes at this time."
Single Hop APA (CTZ),Bitter Root Brewing,3.96,"#15,229",6,13,10.1%,0,1,0,Montana,American Pale Ale (APA),6.33%,Rotating,"
Our latest Single Hop brew using CTZ hops. An unfiltered Pale Ale with huge grapefruit notes, a hint of caramel malts and a good bittering balance."
07747 - Galaxy,Carton Brewing Company,4.22,"#3,983",12,30,6.87%,1,6,0,New Jersey,American Imperial IPA,7.80%,Rotating,"
077XX is our double IPA focused on harmonizing the extremes inherent in the nature of an American double IPA for long-term drinkability. 07747 is the Dubviant tuned up with an exclusive Galaxy third dry hop inspired by the places that get it in Matawan. Galaxy amplifies 0’dub’s mix of dank resins and tropical fruits giving it a peachy treble to the thumps. Drink 07747 and nod your head to this."
"I'm So Excited, I'm So Scared",Funky Buddha Brewery,4.27,"#1,459",47,203,7.03%,27,39,3,Florida,American Imperial Stout,10.00%,Rotating,"
Hey there, tiger: lose control (and like it) with a little I'm So Excited, I'm So Scared. This ferociously coffee-d imperial stout is just like grabbing a booth at The Max, then hunkering down for a study sesh' with a big pot o' joe. Coffee aroma so good it’ll have you yelling “FRESH POTS!” Rock and roll? You ain't seen nothing yet."
Benedictum,Real Ale Brewing Company,4.41,#817,4,60,5.67%,7,10,1,Texas,American Wild Ale,5.40%,Rotating,"
Base beer — blend of brown ales"
Red Headed IPA,Beaver Creek Brewery,3.85,"#20,501",1,11,10.91%,1,2,0,Montana,American IPA,7.30%,Year-round,"
No notes at this time."
Schneider Weisse Tap 6 Unser Aventinus,Weisses Bräuhaus G. Schneider & Sohn GmbH,4.33,#725,"2,178","4,605",9.7%,352,662,5,Germany,German Weizenbock,8.20%,Year-round,"
Formerly Schneider Aventinus."
Mosaic Showers,Noble Ale Works,4.39,#579,28,169,6.83%,52,30,0,California,American Imperial IPA,8.80%,Rotating,"
No notes at this time."
Drunken Vigils Breakfast Stout,Southern Pines Brewing Company,4.38,"#1,223",10,46,6.16%,14,10,0,North Carolina,American Imperial Stout,13.80%,Rotating,"
Drunken Vigils awakens the palate with a hint of porridge from oats and traditional floor malted grains. Caramel and roasted malts with Ecuadorian Cacao create rich notes of nougat and bitter dark chocolate. Locally roasted java from Cactus Creek Coffee completes an array of breakfast nostalgia. Bourbon and Monastery yeast compliment with decadent caramel and dark stone fruit flavors. Barrel staves also impart a warming whiskey character. Drunken Vigils is the perfect morning libation while on the front porch awaiting spring."
Barrel Aged Seven Devils Imperial Stout (Brewers' Private Reserve),Sockeye Grill & Brewery,4.29,"#3,928",6,19,8.39%,5,4,3,Idaho,American Imperial Stout,10.50%,Rotating,"
No notes at this time."
Hopcelot IPA,Lawson's Finest Liquids,4.38,#624,12,182,8.45%,20,14,0,Vermont,American IPA,7.00%,Rotating,"
Inspired by a dreamy combination of music, hops and beer. Celebrate with us as we revel in the glory of 8 varieties of hops from around the world, brewed to create intricate layers of flavor and delight to your sense."
Dominus Vobiscum Hibernus,Microbrasserie Charlevoix,4.09,"#5,127",65,126,8.56%,17,22,2,Quebec,Belgian Strong Dark Ale,10.00%,Rotating,"
No notes at this time."
Chimay Tripel (White),Bières de Chimay,4.13,"#3,376","1,685","4,498",10.9%,293,873,4,Belgium,Belgian Tripel,8.00%,Year-round,"
Labeled Chimay Cinq Cents in 750ml bottle."
Ongelovige Thomas,Jopen Bier BV Haarlem,4.05,"#6,938",24,78,10.86%,10,19,0,Netherlands,Belgian Quadrupel (Quad),10.00%,Rotating,"
Also known as Doubting Thomas"
The Roosevelts,Arizona Wilderness Brewing Co.,4.16,"#7,422",4,16,6.97%,0,0,0,Arizona,American Imperial IPA,8.20%,Rotating,"
No notes at this time."
Leinenkugel's Summer Shandy,Jacob Leinenkugel Brewing Company,3.18,"#43,210",668,"3,731",22.96%,70,"1,220",0,Wisconsin,Fruit and Field Beer,4.20%,Summer,"
No notes at this time."
Snake Handler Double IPA,Good People Brewing Company,4.24,"#1,609",127,592,10.38%,192,169,7,Alabama,American Imperial IPA,10.00%,Year-round,"
This Double IPA brew is a spirited celebration of all things hoppy. Aromas of pine, citrus, flowers, spice, pineapple, and grassiness complement a biscuit and caramel backbone. Hands down, our most requested beer."
Little Sal,Allagash Brewing Company,4.27,"#1,736",19,97,9.13%,79,17,2,Maine,American Wild Ale,6.50%,Rotating,"
Few things are more synonymous with Maine than blueberries. After we spent years making fruit beers, a tiny farm in Windham, Maine asked us to try a beer with their blueberries. We were so happy with the result, we decided to use their entire crop."
Loirette 7.5%,Brasserie De La Pigeonnelle,3.77,"#23,905",6,16,10.34%,1,1,0,France,Belgian Strong Pale Ale,7.50%,Year-round,"
No notes at this time."
Experimental Jet Set,Foam Brewers,4.31,"#1,192",21,133,7.19%,5,16,0,Vermont,New England IPA,8.70%,Rotating,"
No notes at this time."
Icehouse Light,Miller Brewing Co.,1.79,"#44,888",2,30,28.49%,1,5,0,Wisconsin,American Light Lager,5.00%,Year-round,"
No notes at this time."
Grisettastone,American Solera,4.01,"#11,203",5,22,5.99%,0,3,2,Oklahoma,Belgian Saison,4.00%,Rotating,"
No notes at this time."
EKU 28,Kulmbacher Brauerei AG,3.95,"#10,220",469,723,14.94%,71,73,0,Germany,German Doppelbock,11.00%,Year-round,"
A super-strong Bock, but not an Eisbock."
Saftig,Pulpit Rock Brewing Company,4.29,"#1,816",11,62,7.46%,2,1,0,Iowa,American IPA,6.10%,Year-round,"
Pulpit Rock's take on the hazy, east coast IPA style showcases both Mosaic & Simcoe hops"
DFG IPA,The Bier Brewery,4.34,"#2,181",6,29,8.53%,6,6,0,Indiana,American Imperial IPA,9.20%,Rotating,"
No notes at this time."
Intangible Tides,Burlington Beer Co.,4.4,-,12,53,5.91%,2,10,0,Vermont,New England IPA,10.00%,Limited (brewed once),"
No notes at this time."
El Gordo (Barrel Aged),Good People Brewing Company,4.42,"#1,575",10,26,5.66%,21,6,3,Alabama,Russian Imperial Stout,13.90%,Fall,"
No notes at this time."
Rock Island Red,River City Brewing Co.,3.27,"#40,175",5,17,11.31%,0,3,0,Kansas,American Amber / Red Ale,not listed,Year-round,"
No notes at this time."
Awkward Uncle,Great Raft Brewing,3.88,"#16,575",8,36,7.73%,2,4,0,Louisiana,Belgian Strong Dark Ale,8.30%,Winter,"
This Belgian Dark Strong Ale is big and boozy, just like the best and worst family gatherings. The rich malty sweetness of this festive ale is balanced by plentiful amounts of cherries, ginger and cinnamon. This beer contains a lot of good cheer. Enjoy responsibly."
The Devil Made Me Do It! Coffee Imperial Oatmeal Porter,Tyranena Brewing Company,4.18,"#2,455",279,713,8.37%,216,77,6,Wisconsin,American Imperial Porter,7.50%,Rotating,"
Coffee beans used are a blend of Costa Rican and Sumatran from Berres Brothers Coffee Roasters in Watertown, Wi."
Gluttony,Midnight Sun Brewing Co.,4.04,"#7,116",61,92,10.4%,81,4,0,Alaska,American Imperial IPA,10.50%,Rotating,"
GLUTTONY Triple IPA overindulges the palate with profound malt, powerful hops and abundant body. Its deep decadent golden orange color presents an appetizing invitation for extravagant enjoyment. Its aroma entices with citrus, pine and alcohol while the flavor provides a smorgasbord of sweet malt, fresh tangerine/grapefruit and a resinous hop character that lingers well beyond the finish."
Milepost 652 ESB,Old Black Bear Brewing Company,3.71,"#27,025",3,22,14.82%,0,2,0,Alabama,English Extra Special / Strong Bitter (ESB),6.00%,Year-round,"
652 is our American take on the old English Pale Ale style called ESB, but this is anything but bitter. A very simplistic blend of malts reveals a smooth drinking beer that is a touch on the sweet side with a light Centennial hop aroma. Like most American spinoffs of British creations, the Brits should be thanking us for our improvements, and you will too."
Ode To Blumpy,Thomas Hooker Brewing Company,4.24,"#3,679",8,29,6.37%,2,10,0,Connecticut,American IPA,7.00%,Rotating,"
No notes at this time."
Graham's Watermelon Gose,Arizona Wilderness Brewing Co.,4.11,"#9,110",3,15,5.11%,0,2,0,Arizona,Leipzig Gose,4.80%,Rotating,"
No notes at this time."
Mexican Brunch - Bourbon Barrel-Aged,Kane Brewing Company,4.56,-,4,31,5.04%,10,2,0,New Jersey,American Imperial Porter,11.80%,Limited (brewed once),"
Imperial Milk Porter with Coffee, Maple, Cinnamon, Cacao and Chili aged in Bourbon Barrels"
My Antonia,Dogfish Head Craft Brewery,3.99,"#8,110",553,"1,777",12.03%,150,235,2,Delaware,American Imperial Pilsner,7.50%,Rotating,"
My Antonia (named after the Willa Cather read), is a continually-hopped imperial pilsner. This lager for ale lovers is citrusy, sweet and refined."
Smoke & Mirrors,Revision Brewing Company,4.19,-,19,47,5.73%,1,6,0,Nevada,New England IPA,8.00%,Rotating,"
Citra, Mosaic, and Amarillo hops form a power trio of tastiness in this double dose of liquid goodness. No illusions here, see with your mind and flavor and aroma receptors what’s really going on. The answer is stoke."
East India Porter,Brouwerij Kees,3.76,"#24,366",9,27,7.71%,0,1,0,Netherlands,American Black Ale,6.50%,Year-round,"
No notes at this time."
Never Gonnagetit³,The Veil Brewing Co.,4.6,-,1,13,3.7%,5,0,0,Virginia,Leipzig Gose,5.30%,Rotating,"
Never Gonnagetit³ is the triple fruited version of our mixed berry(Raspberry, Boysenberry, and BlackBerry) Gose Never Gonnagetit."
Wisdom Seeker,Black Raven Brewing Co.,4.19,"#2,549",50,191,8.83%,52,20,1,Washington,American Imperial IPA,9.00%,Rotating,"
No notes at this time."
Night Jump,Aviator Brewing Company,4.3,"#1,918",17,49,6.74%,10,13,1,North Carolina,Russian Imperial Stout,13.00%,Winter,"
Night Jump pours deep black with a dark roasted head of foam. Note the smell of barrel and the full scent of the malts. There is a rich flavor complemented by the whiskey barrel aging and the cacao nibs. We use more hops than the 18th century Brits did. Best if consumed after doing a night jump over enemy territory."
Eliot Ness,Great Lakes Brewing Co.,4.07,"#4,966","1,051","3,301",11.3%,315,715,3,Ohio,Vienna Lager,6.10%,Year-round,"
An amber lager with rich, fragrant malt flavors balanced by crisp noble hops."
Heyzeus,Melvin Brewing / Thai Me Up,3.8,"#21,328",23,73,8.68%,0,6,0,Wyoming,American Lager,5.20%,Spring,"
Mexican Style Lager"
Cuvee De Tomme,The Lost Abbey,4.21,"#1,936",418,"1,242",10.69%,681,269,10,California,American Wild Ale,11.00%,Rotating,"
Blended dark strong ale with sour cherries aged in American oak and French oak red wine barrels. "
Hop Jack Ale,Free State Brewing Co.,3.67,"#28,138",3,11,11.17%,0,2,0,Kansas,American Pale Ale (APA),not listed,Rotating,"
Hop jacks (or hop backs as they are also called) are pieces of traditional brewing equipment that are used to add fresh hop flavors and aromas to the hot wort as it is transferred from the brew kettle to the heat exchanger. Fresh hop flowers are placed in the hop jack for the very freshest hop character."
Fuzzy Knuckles,Defiance Brewing Co.,4.11,"#4,979",22,76,7.54%,9,15,0,Kansas,American Imperial Stout,10.00%,Rotating,"
No notes at this time."
Barista-Berry Hill,Southern Grist Brewing Co.,4.27,"#7,110",3,10,7.03%,0,0,0,Tennessee,American Wild Ale,5.60%,Rotating,"
No notes at this time."
Teikoku IPA,Baird Brewing Company / Fishmarket Taproom,3.72,"#26,954",31,61,12.1%,1,13,0,Japan,American IPA,5.80%,Year-round,"
No notes at this time."
Beer 30 Light,Melanie Brewing Company,1.65,"#44,942",51,102,41.21%,6,10,0,Wisconsin,American Light Lager,4.00%,Year-round,"
No notes at this time."
Young's Double Chocolate Stout,Wells & Young's Ltd,4.02,"#6,792","2,393","5,874",12.94%,272,"1,096",1,England,English Sweet / Milk Stout,5.20%,Year-round,"
No notes at this time."
The Abyss,Deschutes Brewery,4.47,#199,"2,024","7,340",9.4%,"2,971","3,968",334,Oregon,American Imperial Stout,11.40%,Winter,"
A deep, dark Imperial Stout, The Abyss has almost immeasurable depth and complexity. Hints of molasses, licorice and other alluring flavors make it something not just to quaff, but contemplate."
Cheddar Broccoli,Other Half Brewing Co.,4.35,#944,11,105,5.29%,7,16,0,New York,New England IPA,7.90%,Rotating,"
Cheddar Broccoli Imperial IPA is Broccoli Imperial IPA DDH'ed with the hops from Cheddar Imperial IPA."
MPA #8,Oxford Brewing Company,3.33,"#39,631",3,20,12.01%,0,2,0,Mississippi,American IPA,7.00%,Year-round,"
No notes at this time."
Misty Valley Reclaimed Rye,Creature Comforts,4.18,"#6,466",2,18,5.5%,2,2,0,Georgia,American Amber / Red Ale,5.50%,Rotating,"
No notes at this time."
Weihenstephaner Kristallweissbier,Bayerische Staatsbrauerei Weihenstephan,4.05,"#5,689",850,"1,935",10.12%,138,253,0,Germany,German Kristalweizen,5.40%,Year-round,"
In our golden-yellow crystal-clear wheat beer the fresh citrus flavour harmonises very well with spicy banana notes. The fine sparkling gives it a tangy and animated appearance. Throughout summer and winter, it’s a prickling experience. It goes well with fish, seafood, white meat or it can be enjoyed as an aperitif. Brewed according to our centuries-old brewing tradition on the Weihenstephan hill."
Momentary Master - Double Dry-Hopped,Magnify Brewing Company,4.22,"#4,941",6,21,6.87%,0,4,0,New Jersey,American Imperial IPA,8.50%,Rotating,"
No notes at this time."
Spellbinder,Wren House Brewing Co,4.27,"#4,096",2,20,7.26%,0,3,0,Arizona,New England IPA,6.50%,Rotating,"
Brewed with wheat and many gallons of oat milk, hopped exclusively with Loral lupulin powder and Citra hops multiple times throughout the whirlpool. We then triple dry hopped this beer during fermentation with ludicrous amounts of Citra and Mosaic lupulin powder."
Peloncillo Porter,Arizona Wilderness Brewing Co.,4,"#12,259",1,18,6%,2,3,0,Arizona,American Brown Ale,5.60%,Rotating,"
No notes at this time."
Mönchsambacher Lager,Brauerei Zehendner GmbH,4.28,"#2,171",30,49,10.51%,97,2,0,Germany,German Kellerbier / Zwickelbier,5.50%,Year-round,"
No notes at this time."
Pannepot,De Struise Brouwers,4.33,#732,848,"2,416",9.24%,422,461,31,Belgium,Belgian Quadrupel (Quad),10.00%,Rotating,"
Old Fisherman's Ale is a dark ale brewed with spices. Pannepot is a term that describes the Fishing Boats from the village of De Panne. Brewed and bottled on the Deca Brewery in Woesten-Vleteren."
Wet Hopped Trail Head Pale Ale,Fat Head's Brewery & Saloon,4.35,"#1,234",12,62,6.9%,11,2,0,Ohio,American Pale Ale (APA),6.30%,Fall,"
No notes at this time."
Mexican Cake - Calvados Barrel-Aged,Westbrook Brewing Co.,4.55,-,3,26,5.71%,4,6,2,South Carolina,American Imperial Stout,10.50%,Limited (brewed once),"
No notes at this time."
St. Amatus 12,De Struise Brouwers,4.2,"#2,234",142,329,9.29%,127,78,6,Belgium,Belgian Quadrupel (Quad),10.50%,Rotating,"
No notes at this time."
Immortal,Hydra Beer Co.,3.71,"#26,849",5,17,10.24%,0,1,0,South Dakota,English Brown Ale,4.50%,Year-round,"
A dark reflection of the mighty seven headed Hydra Serpent, the Immortal 7 Barley English Style Ale has a complex blend of superior flavors and deep brown color reminiscent of the deep abyss. with a subtle lure of light fruitiness from the best of British yeast cultures and a craft blend of choice hops, Immortal 7 Barley English Style Ale delivers a non-bitter taste with an easy finish."
Triple Barrel Big Bad Baptist,Epic Brewing Company,4.43,#326,85,371,6.09%,22,104,12,Utah,American Imperial Stout,11.20%,Rotating,"
Rum and whiskey barrel-aged imperial stout with barrel-aged coffee, barrel-aged coconut, and cacao nibs."
Saison Du Fermier,Side Project Brewing,4.56,#86,59,776,6.8%,699,105,13,Missouri,Belgian Saison,7.00%,Rotating,"
Chardonnay barrel-fermented Saison that uses our house blend of Brett and bacteria. Batch 1 spent 3 months in oak and then 3 months bottle conditioning. Bright citrus, billowy mouthfeel, classic funk round out the flavor profile of this rustic Saison."
IPA,AleSmith Brewing Company,4.23,"#1,647","1,360","4,315",8.75%,526,806,10,California,American IPA,7.25%,Year-round,"
No notes at this time."
Other Half / Equilibrium - Einstein’s Daydream,Other Half Brewing Co.,4.43,-,4,36,4.29%,1,9,0,New York,American Imperial IPA,8.50%,Limited (brewed once),"
Einstein’s Daydream is an Imperial oat cream IPA (8.5%) brewed in collaboration with our friends Equilibrium Brewing, which takes Mc2, one of Equilibrium's classic beers, and gives it the dream/daydream treatment with a big dose of oats and a hint of lactose."
Blitzen,Millstream Brewing Company,3.98,"#12,322",4,23,7.04%,1,1,0,Iowa,Baltic Porter,8.00%,Winter,"
No notes at this time."
Barrel Aged The End Of Days,Pipeworks Brewing Company,4.34,"#1,618",7,44,7.14%,26,22,4,Illinois,American Imperial Stout,13.00%,Rotating,"
Bourbon barrel aged imperial milk stout in 12 year Elijah Craig barrels Brewer with cacao nib, vanilla, cinnamon, and peppers."
Awesomeness,Defiance Brewing Co.,4.31,"#2,649",6,28,6.5%,5,6,0,Kansas,American Imperial IPA,8.00%,Winter,"
No notes at this time."
Hip Hops,Forager Brewing Company,4.29,"#4,074",3,18,5.83%,0,0,0,Minnesota,American IPA,7.50%,Rotating,"
No notes at this time."
Liquid Spiritual Delight (Blueprint Coffee),2nd Shift Brewing,4.24,"#2,032",20,110,10.14%,23,23,4,Missouri,American Imperial Stout,11.50%,Year-round,"
A twist on LSD, brewed with an Ethiopian roast called Aramo Grande 1 from Blueprint Coffee. Only 35 cases were bottled."
Tesseract,Grimm Artisanal Ales,4.4,#411,87,546,6.82%,208,121,2,New York,American Imperial IPA,8.00%,Rotating,"
We punched up our favorite DIPA with an extra dose of mosaic cryo hops. More lupulin oil and less vegetative matter delivers an even fruitier and smoother hop experience."
Chaos Emeralds,Lone Pine Brewing Company,4.26,-,6,18,5.4%,1,4,0,Maine,American Imperial IPA,8.00%,Rotating,"
No notes at this time."
Pannepot Grand Reserva,De Struise Brouwers,4.31,#915,255,657,9.74%,191,203,17,Belgium,Belgian Quadrupel (Quad),10.00%,Rotating,"
No notes at this time."
Chicory Stout,Dogfish Head Craft Brewery,3.73,"#26,595","1,377","3,379",13.14%,128,311,2,Delaware,American Stout,5.20%,Fall,"
Chicory was one of the first beers we started brewing at our pub back when it opened in 1995. It's a dark beer made with a bunch of roasted chicory, organic Mexican coffee, St. John's Wort and licorice root. We use whole-leaf Cascade and Fuggle hops, as well as pale, roasted and oatmeal grains."
Coffee Shop Vibes - Peruvian,Shared Brewing,4.51,#358,12,62,7.54%,19,9,2,Missouri,American Imperial Stout,13.00%,Rotating,"
Vibes, our Russian Imperial Stout, that was brewed with an addition of Peruvian coffee from our friends at Sump Coffee."
Drain The Swamp,Bare Hands Brewery,4.25,"#4,471",6,20,9.41%,3,4,0,Indiana,American Imperial IPA,8.00%,Rotating,"
No notes at this time."
Pineapple Mana Wheat,Maui Brewing Co.,3.54,"#37,618",166,538,14.97%,11,95,0,Hawaii,American Pale Wheat Ale,5.50%,Year-round,"
Maui Gold pineapple gives sweet aroma to this smooth-bodied, tropical brew."
Portsmouth Royal Impy Stout,Portsmouth Brewery,4.33,#987,24,146,9.47%,75,23,2,New Hampshire,Russian Imperial Stout,9.80%,Winter,"
A super dark, fulll-bodied Russian Imperial Stout with flavors of dark chocolate, raisins and sweet coffee that takes over the mouth. As it warms hints of aged oak help balance the alcohol in the finish. Layers of flavors in this beer is proof that great things do come in small packages. "
Bask,Basic City Beer Company,4.39,"#2,072",8,23,5.92%,1,6,0,Virginia,American Imperial IPA,7.80%,Summer,"
No notes at this time."
Dwarven Power Bottom,3 Floyds Brewing Co.,4.14,"#3,573",21,178,10.63%,50,36,5,Indiana,Russian Imperial Stout,15.00%,Spring,"
Dark Lord aged in Muscat barrels."
Near And Far,Great Raft Brewing,4,"#13,589",4,13,6.25%,1,0,0,Louisiana,German Kölsch,5.00%,Spring,"
An American-style kolsch. We brew this like a classic style kolsch, but then take a detour and dry hop it like an American IPA."
Black Magic Porter,Carter's Brewing,3.95,"#15,936",4,12,10.63%,0,0,0,Montana,English Porter,5.00%,Year-round,"
Black Magic Porter: brewed as a classic brown porter with rich caramel and chocolate flavors."
Brewer's Duet,Benson Brewery,3.95,"#15,912",2,12,5.57%,0,2,0,Nebraska,American Stout,5.50%,Year-round,"
No notes at this time."
St.Oner,Tired Hands Brewing Company,4.38,#707,15,117,7.31%,46,7,0,Pennsylvania,American IPA,6.50%,Rotating,"
Our one year anniversary IPA! Brewed with rye, PA wildflower honey, and lime / meyer lemon / grapefruit / clementine juice & zest. Hopped with Citra, Mosaic, and Simcoe."
Green Dreams,Triple Crossing Brewing,4.31,"#1,653",15,58,4.87%,4,8,0,Virginia,New England IPA,8.00%,Rotating,"
Our ever rotating, ever evolving Double IPA series. Much like dreams, certain hop varieties can be fleeting and hard to fully grasp. Rather than fight that truth, we'd rather embrace our own Green Dreams which will allow us to brew beers with often rare ingredients, and new processes."
Nelson,Alpine Beer Company,4.44,#260,841,"4,169",8.56%,"1,360",670,16,California,American IPA,7.00%,Rotating,"
A Golden Rye IPA - An outstanding hop from New Zealand, Nelson Sauvin, is generously used throughout the brewing and dry-hopping of this unique beer. European rye is added for a smooth, malty addition to flavor. 1.065 OG 7% AB"
Beach Break Apricot Wheat,3rd Wave Brewing Company,3.97,"#15,828",3,10,6.05%,1,2,0,Delaware,American Pale Wheat Ale,5.30%,Rotating,"
No notes at this time."
Society & Solitude #7,Hill Farmstead Brewery,4.37,#587,39,354,6.41%,47,23,0,Vermont,American Imperial IPA,8.00%,Rotating,"
Imperial Pale Ale brewed exclusively with Simcoe and Amarillo hops from the Pacific Northwest..."
Blindside,Scofflaw Brewing Company,4.13,"#9,214",1,13,5.57%,0,2,0,Georgia,American IPA,7.10%,Rotating,"
No notes at this time."
Crux,Bridge Brew Works LLC,3.76,"#24,436",1,20,11.7%,0,1,0,West Virginia,German Kölsch,5.70%,Summer,"
No notes at this time."
Tripel Ale,Allagash Brewing Company,4.14,"#3,178",971,"2,884",10.14%,210,671,2,Maine,Belgian Tripel,9.00%,Year-round,"
This strong golden ale is marked by passion fruit and herbal notes in the aroma, with suggestions of banana and honey in the complex palate. The Tripel has a remarkably long and smooth finish."
Dortmunder Export Lager,Bohemian Brewery,3.85,"#19,610",7,18,10.39%,0,3,0,Utah,European Export / Dortmunder,6.00%,Year-round,"
No notes at this time."
DoubleMex,Brew Gentlemen,4.52,#298,20,69,7.08%,32,6,3,Pennsylvania,American Imperial Stout,9.90%,Fall,"
Our annual bourbon barrel-aged imperial oatmeal stout with coffee, cinnamon, and vanilla."
Coffee Shop Vibes - Mexican,Shared Brewing,4.61,-,4,47,5.86%,4,5,1,Missouri,Russian Imperial Stout,13.00%,Limited (brewed once),"
Russian imperial stout with Sump Coffee Mexican coffee added."
We Are All Infinite Energy Vibrating At The Same Frequency,Tired Hands Brewing Company,4.25,"#1,606",30,271,6.59%,34,29,1,Pennsylvania,American IPA,6.20%,Rotating,"
Wheat IPA brewed with Centennial and Simcoe"
Headroom,Trillium Brewing Company,4.61,#48,100,668,6.72%,254,81,0,Massachusetts,New England IPA,8.00%,Rotating,"
Headroom is about pushing boundaries. From its first batch brewed on Congress St. in 2015 to today, Headroom stands as a landmark, watershed beer in terms of our evolution as a brewery. Conceptually, we sought to create our boldest, most daring, hoppiest beer we could possibly dream up. Our ability to conceive and brew new Double Dry Hopped Double and Triple IPAs is born out of our foundational experience brewing Headroom. Remaining our hoppiest beer, laden with over 8 pounds per barrel of Galaxy and Mosaic Hops, Headroom represents a yearly look back at our past, a reflection on our present, and a glance into our future. "
Chasing Rainbows Four,Bearded Iris Brewing,4.16,-,5,13,7.21%,0,0,0,Tennessee,American IPA,5.90%,Rotating,"
No notes at this time."
Blue Collar Bitter,Blackfoot River Brewing Company,4.01,"#14,360",2,10,6.98%,0,2,0,Montana,English Extra Special / Strong Bitter (ESB),6.40%,Year-round,"
This British-style ale is a traditional version of Extra Special Bitter. Blue Collar is deep amber to copper in color, full-bodied, with balanced malt & hop bitterness. This beer is brewed from Montana-grown and malted 2-row Metcalfe barley, along with British crystal and black malts, torrified wheat, and some flaked barley to give it a smooth finish. It is well-hopped with Magnum and Fuggle for bitterness, and finished with East Kent Goldings."
Tunnel Vision,Bearded Iris Brewing,4.22,"#3,002",13,54,6.4%,2,10,0,Tennessee,New England IPA,6.80%,Rotating,"
IPA with Citra, Mosaic, El Dorado oil."
The Awakening Coffee Stout,Angry Chair Brewing,4.3,"#1,272",21,141,6.98%,39,19,1,Florida,American Stout,6.60%,Rotating,"
No notes at this time."
State of Haze,Revision Brewing Company,4.24,-,9,26,3.07%,1,3,0,Nevada,New England IPA,6.00%,Rotating,"
Notes of bright tangerine and ripe pineapple delivered to your flavor hole (The Flavorifice) on a soft bed of wheat and oats."
Cantillon Lou Pepe - Framboise,Brasserie Cantillon,4.58,#67,304,"1,363",6.99%,"1,204",226,21,Belgium,Belgian Fruit Lambic,5.00%,Rotating,"
No notes at this time."
Wonder Twins,Scratchtown Brewing Company,4.3,"#4,570",5,15,8.84%,3,3,0,Nebraska,American Imperial IPA,7.60%,Year-round,"
No notes at this time."
Double Koko Buni,Creature Comforts,4.27,"#4,094",5,20,9.13%,7,1,0,Georgia,American Imperial Porter,8.70%,Rotating,"
Imperial milk porter w/ toasted coconut, coffee, cocoa nibs, and vanilla beans."
Tapping The Sugarbush,Tyranena Brewing Company,4.21,"#4,155",4,30,4.28%,2,5,0,Wisconsin,American Imperial Porter,9.00%,Rotating,"
Tapping The Sugarbush is an Imperial Maple Porter aged in Bourbon Barrels. The sweetness of maple syrup is masterfully blended (if I do say so myself) with the richness of chocolate and caramel malts. Notes of vanilla and oak from barrel-aging further heighten this north wood's pleasure."
Brooklyn Black Chocolate Stout,Brooklyn Brewery,4.15,"#2,930","2,840","6,790",10.36%,462,"1,510",48,New York,Russian Imperial Stout,10.00%,Winter,"
This is the famous Brooklyn Black Chocolate Stout. In the 18th century, Catherine the Great, Empress of Russia, ordered a stout to be sent to her from England. This beer was brewed strong and hoppy to survive the sea voyage, and it arrived in perfect condition. Soon ""Russian Imperial Stout"" became the toast of the Russian aristocracy. Brewed since 1994, our Black Chocolate Stout has itself become a modern classic, heralded the world over. It achieves its dark chocolate aroma and flavor through the artful blending of six malts and three distinct mashes. Properly kept, it will improve in the bottle for many years. This stout is the toast of the winter season in many countries, and there is nothing better to enjoy with chocolate desserts, cheesecake, ice cream, fine cheeses and roaring fireplaces."
White,Allagash Brewing Company,4.16,"#2,740","1,416","5,509",11.54%,518,"1,528",2,Maine,Belgian Witbier,5.10%,Year-round,"
Our interpretation of a traditional Belgian wheat beer. Brewed with a generous portion of wheat and spiced with coriander and Curacao orange peel, this beer is fruity, refreshing and slightly cloudy in appearance."
Ettaler Curator Dunkler Doppelbock (US Import Version),Klosterbrauerei Ettal / Ettaler Klosterbetriebe GmbH,3.91,"#12,732",202,298,11.51%,13,24,0,Germany,German Doppelbock,9.00%,Year-round,"
No notes at this time."
Crowd Control,Southern Prohibition Brewing,4.23,"#2,005",44,155,7.33%,9,46,3,Mississippi,American Imperial IPA,8.00%,Year-round,"
Crowd Control is a dry-hopped Imperial IPA showcasing Mosaic hops. A solid malt backbone accompanied with a fruity and sticky hop overlay contain one another for a great balance of aroma and flavor. Drink fresh and don't resist."
Albatross,Brew Gentlemen,4.55,#247,14,69,7.03%,19,3,0,Pennsylvania,New England IPA,8.00%,Spring,"
No notes at this time."
